user,date,text,user_location,favorite_count,number_followers,is_retweet,hashtags,source
BernieSpofforth,Fri Mar 24 12:19:29 +0000 2023,MACRON - Oops the moment Macron realises he’s wearing a very expensive watch whilst telling French people they must… https://t.co/Cvoi450oHa,"North West, England",12298,196109,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 13:28:18 +0000 2023,"Millions of people on the streets in Paris. They want Dictator Emmanuel Macron to resign. 🇫🇷 

This will be happeni… https://t.co/y9TaPrPJIF","København, Danmark",13341,285662,False,[],Twitter for iPhone
KimDotcom,Fri Mar 24 03:26:52 +0000 2023,Over a million protesters call for “Macron the Dictator” to be removed. Why? Macron used an emergency law to impose… https://t.co/XwjxK4tsJ1,Contact: twitter@kim.com ,18448,1341096,False,[],Twitter for iPhone
TheRealKeean,Thu Mar 23 19:36:10 +0000 2023,Breathtaking. Over a million French protesters gather in Paris calling for the removal of Macron. https://t.co/mJMl8Njb98,"Calgary, Alberta",11484,259223,False,[],Twitter for Android
BernieSpofforth,Thu Mar 23 07:50:52 +0000 2023,"FRANCE - Today is the day the whole of France strikes.

Millions of people will stand against Macron, who has circu… https://t.co/7CzrcpGJxb","North West, England",23615,196109,False,[],Twitter for iPhone
ashoswai,Thu Mar 23 22:58:40 +0000 2023,This is not Syria or Libya -This is France. Protests against Macron’s pension reform have become widespread and vio… https://t.co/mgbUcmpe7k,"Uppsala, Sweden",5503,513205,False,[],Twitter for iPhone
Poulin2012,Thu Mar 23 16:55:51 +0000 2023,"Macron is slowly but surely turning France into a violent dictatorship. 

More police violences than ever, mass arr… https://t.co/NO10SKKLVp","Paris, France",1341,212809,False,[],Twitter for iPhone
stillgray,Thu Mar 23 21:36:58 +0000 2023,"Is this a turning point in the protests against Macron? Riot police signal their support for the protesters. 

 https://t.co/ueNPjXORxF",YouTube,3833,512557,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 17:36:57 +0000 2023,"9 million people are not wrong! 🇫🇷

Macron RESIGN! 🔥https://t.co/XTqjvaLsHG","København, Danmark",3209,285662,False,[],Twitter for iPhone
KimDotcom,Thu Mar 23 22:09:28 +0000 2023,This is what’s happening all over France. The people have enough of Macron. Time for him to step down and make way… https://t.co/mtfrvukmKK,Contact: twitter@kim.com ,3285,1341096,False,[],Twitter for iPhone
Resist_05,Wed Mar 22 23:01:59 +0000 2023,The whole of France is behind the anti-reform movement… Macron has lost control of the country https://t.co/tqngEEfoVA,,8001,80645,False,[],Twitter for iPhone
ggreenwald,Fri Mar 24 16:55:15 +0000 2023,France is now covered with protests and strikes because Macron said there's no money to allow workers to retire at… https://t.co/RRL9l77Jkf,GlennGreenwald@gmail.com,1947,2004534,False,[],Twitter Web App
DrLoupis,Thu Mar 23 21:36:05 +0000 2023,"Over a million French protesters gather in Paris calling for the removal of Macron the Dictator. 🇫🇷🔥🇫🇷

The People… https://t.co/oEXqaqqEwu","København, Danmark",50407,285662,False,[],Twitter for iPhone
bennyjohnson,Fri Mar 24 01:13:52 +0000 2023,"The sum of all fears for globalist technocrats is happening RIGHT NOW in France.

The French firefighters and riot… https://t.co/T9WcpLzzQD",Tampa Florida ,27384,1391420,False,[],Twitter for iPhone
BernieSpofforth,Thu Mar 23 23:01:30 +0000 2023,"FRANCE - The firefighters follow the police and begin to stand down, choosing to stand up with the people instead.… https://t.co/IuLBUuS4xJ","North West, England",24931,196109,False,[],Twitter for iPhone
BernieSpofforth,Fri Mar 24 12:19:29 +0000 2023,MACRON - Oops the moment Macron realises he’s wearing a very expensive watch whilst telling French people they must… https://t.co/Cvoi450oHa,"North West, England",12298,196109,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 13:28:18 +0000 2023,"Millions of people on the streets in Paris. They want Dictator Emmanuel Macron to resign. 🇫🇷 

This will be happeni… https://t.co/y9TaPrPJIF","København, Danmark",13341,285662,False,[],Twitter for iPhone
KimDotcom,Fri Mar 24 03:26:52 +0000 2023,Over a million protesters call for “Macron the Dictator” to be removed. Why? Macron used an emergency law to impose… https://t.co/XwjxK4tsJ1,Contact: twitter@kim.com ,18448,1341096,False,[],Twitter for iPhone
TheRealKeean,Thu Mar 23 19:36:10 +0000 2023,Breathtaking. Over a million French protesters gather in Paris calling for the removal of Macron. https://t.co/mJMl8Njb98,"Calgary, Alberta",11484,259223,False,[],Twitter for Android
BernieSpofforth,Thu Mar 23 07:50:52 +0000 2023,"FRANCE - Today is the day the whole of France strikes.

Millions of people will stand against Macron, who has circu… https://t.co/7CzrcpGJxb","North West, England",23615,196109,False,[],Twitter for iPhone
ashoswai,Thu Mar 23 22:58:40 +0000 2023,This is not Syria or Libya -This is France. Protests against Macron’s pension reform have become widespread and vio… https://t.co/mgbUcmpe7k,"Uppsala, Sweden",5503,513205,False,[],Twitter for iPhone
Poulin2012,Thu Mar 23 16:55:51 +0000 2023,"Macron is slowly but surely turning France into a violent dictatorship. 

More police violences than ever, mass arr… https://t.co/NO10SKKLVp","Paris, France",1341,212809,False,[],Twitter for iPhone
stillgray,Thu Mar 23 21:36:58 +0000 2023,"Is this a turning point in the protests against Macron? Riot police signal their support for the protesters. 

 https://t.co/ueNPjXORxF",YouTube,3833,512557,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 17:36:57 +0000 2023,"9 million people are not wrong! 🇫🇷

Macron RESIGN! 🔥https://t.co/XTqjvaLsHG","København, Danmark",3210,285662,False,[],Twitter for iPhone
KimDotcom,Thu Mar 23 22:09:28 +0000 2023,This is what’s happening all over France. The people have enough of Macron. Time for him to step down and make way… https://t.co/mtfrvukmKK,Contact: twitter@kim.com ,3285,1341096,False,[],Twitter for iPhone
Resist_05,Wed Mar 22 23:01:59 +0000 2023,The whole of France is behind the anti-reform movement… Macron has lost control of the country https://t.co/tqngEEfoVA,,8001,80645,False,[],Twitter for iPhone
ggreenwald,Fri Mar 24 16:55:15 +0000 2023,France is now covered with protests and strikes because Macron said there's no money to allow workers to retire at… https://t.co/RRL9l77Jkf,GlennGreenwald@gmail.com,1947,2004534,False,[],Twitter Web App
DrLoupis,Thu Mar 23 21:36:05 +0000 2023,"Over a million French protesters gather in Paris calling for the removal of Macron the Dictator. 🇫🇷🔥🇫🇷

The People… https://t.co/oEXqaqqEwu","København, Danmark",50407,285662,False,[],Twitter for iPhone
bennyjohnson,Fri Mar 24 01:13:52 +0000 2023,"The sum of all fears for globalist technocrats is happening RIGHT NOW in France.

The French firefighters and riot… https://t.co/T9WcpLzzQD",Tampa Florida ,27384,1391420,False,[],Twitter for iPhone
BernieSpofforth,Thu Mar 23 23:01:30 +0000 2023,"FRANCE - The firefighters follow the police and begin to stand down, choosing to stand up with the people instead.… https://t.co/IuLBUuS4xJ","North West, England",24931,196109,False,[],Twitter for iPhone
BernieSpofforth,Fri Mar 24 12:19:29 +0000 2023,MACRON - Oops the moment Macron realises he’s wearing a very expensive watch whilst telling French people they must… https://t.co/Cvoi450oHa,"North West, England",12298,196109,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 13:28:18 +0000 2023,"Millions of people on the streets in Paris. They want Dictator Emmanuel Macron to resign. 🇫🇷 

This will be happeni… https://t.co/y9TaPrPJIF","København, Danmark",13341,285662,False,[],Twitter for iPhone
KimDotcom,Fri Mar 24 03:26:52 +0000 2023,Over a million protesters call for “Macron the Dictator” to be removed. Why? Macron used an emergency law to impose… https://t.co/XwjxK4tsJ1,Contact: twitter@kim.com ,18448,1341095,False,[],Twitter for iPhone
TheRealKeean,Thu Mar 23 19:36:10 +0000 2023,Breathtaking. Over a million French protesters gather in Paris calling for the removal of Macron. https://t.co/mJMl8Njb98,"Calgary, Alberta",11484,259223,False,[],Twitter for Android
BernieSpofforth,Thu Mar 23 07:50:52 +0000 2023,"FRANCE - Today is the day the whole of France strikes.

Millions of people will stand against Macron, who has circu… https://t.co/7CzrcpGJxb","North West, England",23615,196109,False,[],Twitter for iPhone
ashoswai,Thu Mar 23 22:58:40 +0000 2023,This is not Syria or Libya -This is France. Protests against Macron’s pension reform have become widespread and vio… https://t.co/mgbUcmpe7k,"Uppsala, Sweden",5503,513205,False,[],Twitter for iPhone
Poulin2012,Thu Mar 23 16:55:51 +0000 2023,"Macron is slowly but surely turning France into a violent dictatorship. 

More police violences than ever, mass arr… https://t.co/NO10SKKLVp","Paris, France",1341,212809,False,[],Twitter for iPhone
stillgray,Thu Mar 23 21:36:58 +0000 2023,"Is this a turning point in the protests against Macron? Riot police signal their support for the protesters. 

 https://t.co/ueNPjXORxF",YouTube,3833,512557,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 17:36:57 +0000 2023,"9 million people are not wrong! 🇫🇷

Macron RESIGN! 🔥https://t.co/XTqjvaLsHG","København, Danmark",3210,285662,False,[],Twitter for iPhone
KimDotcom,Thu Mar 23 22:09:28 +0000 2023,This is what’s happening all over France. The people have enough of Macron. Time for him to step down and make way… https://t.co/mtfrvukmKK,Contact: twitter@kim.com ,3285,1341095,False,[],Twitter for iPhone
Resist_05,Wed Mar 22 23:01:59 +0000 2023,The whole of France is behind the anti-reform movement… Macron has lost control of the country https://t.co/tqngEEfoVA,,8001,80645,False,[],Twitter for iPhone
ggreenwald,Fri Mar 24 16:55:15 +0000 2023,France is now covered with protests and strikes because Macron said there's no money to allow workers to retire at… https://t.co/RRL9l77Jkf,GlennGreenwald@gmail.com,1947,2004534,False,[],Twitter Web App
DrLoupis,Thu Mar 23 21:36:05 +0000 2023,"Over a million French protesters gather in Paris calling for the removal of Macron the Dictator. 🇫🇷🔥🇫🇷

The People… https://t.co/oEXqaqqEwu","København, Danmark",50407,285662,False,[],Twitter for iPhone
bennyjohnson,Fri Mar 24 01:13:52 +0000 2023,"The sum of all fears for globalist technocrats is happening RIGHT NOW in France.

The French firefighters and riot… https://t.co/T9WcpLzzQD",Tampa Florida ,27384,1391420,False,[],Twitter for iPhone
BernieSpofforth,Thu Mar 23 23:01:30 +0000 2023,"FRANCE - The firefighters follow the police and begin to stand down, choosing to stand up with the people instead.… https://t.co/IuLBUuS4xJ","North West, England",24931,196109,False,[],Twitter for iPhone
BernieSpofforth,Fri Mar 24 12:19:29 +0000 2023,MACRON - Oops the moment Macron realises he’s wearing a very expensive watch whilst telling French people they must… https://t.co/Cvoi450oHa,"North West, England",12298,196109,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 13:28:18 +0000 2023,"Millions of people on the streets in Paris. They want Dictator Emmanuel Macron to resign. 🇫🇷 

This will be happeni… https://t.co/y9TaPrPJIF","København, Danmark",13341,285662,False,[],Twitter for iPhone
KimDotcom,Fri Mar 24 03:26:52 +0000 2023,Over a million protesters call for “Macron the Dictator” to be removed. Why? Macron used an emergency law to impose… https://t.co/XwjxK4tsJ1,Contact: twitter@kim.com ,18448,1341096,False,[],Twitter for iPhone
TheRealKeean,Thu Mar 23 19:36:10 +0000 2023,Breathtaking. Over a million French protesters gather in Paris calling for the removal of Macron. https://t.co/mJMl8Njb98,"Calgary, Alberta",11484,259223,False,[],Twitter for Android
BernieSpofforth,Thu Mar 23 07:50:52 +0000 2023,"FRANCE - Today is the day the whole of France strikes.

Millions of people will stand against Macron, who has circu… https://t.co/7CzrcpGJxb","North West, England",23615,196109,False,[],Twitter for iPhone
ashoswai,Thu Mar 23 22:58:40 +0000 2023,This is not Syria or Libya -This is France. Protests against Macron’s pension reform have become widespread and vio… https://t.co/mgbUcmpe7k,"Uppsala, Sweden",5503,513205,False,[],Twitter for iPhone
Poulin2012,Thu Mar 23 16:55:51 +0000 2023,"Macron is slowly but surely turning France into a violent dictatorship. 

More police violences than ever, mass arr… https://t.co/NO10SKKLVp","Paris, France",1341,212809,False,[],Twitter for iPhone
stillgray,Thu Mar 23 21:36:58 +0000 2023,"Is this a turning point in the protests against Macron? Riot police signal their support for the protesters. 

 https://t.co/ueNPjXORxF",YouTube,3833,512557,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 17:36:57 +0000 2023,"9 million people are not wrong! 🇫🇷

Macron RESIGN! 🔥https://t.co/XTqjvaLsHG","København, Danmark",3210,285662,False,[],Twitter for iPhone
KimDotcom,Thu Mar 23 22:09:28 +0000 2023,This is what’s happening all over France. The people have enough of Macron. Time for him to step down and make way… https://t.co/mtfrvukmKK,Contact: twitter@kim.com ,3285,1341096,False,[],Twitter for iPhone
Resist_05,Wed Mar 22 23:01:59 +0000 2023,The whole of France is behind the anti-reform movement… Macron has lost control of the country https://t.co/tqngEEfoVA,,8001,80645,False,[],Twitter for iPhone
ggreenwald,Fri Mar 24 16:55:15 +0000 2023,France is now covered with protests and strikes because Macron said there's no money to allow workers to retire at… https://t.co/RRL9l77Jkf,GlennGreenwald@gmail.com,1947,2004534,False,[],Twitter Web App
DrLoupis,Thu Mar 23 21:36:05 +0000 2023,"Over a million French protesters gather in Paris calling for the removal of Macron the Dictator. 🇫🇷🔥🇫🇷

The People… https://t.co/oEXqaqqEwu","København, Danmark",50407,285662,False,[],Twitter for iPhone
bennyjohnson,Fri Mar 24 01:13:52 +0000 2023,"The sum of all fears for globalist technocrats is happening RIGHT NOW in France.

The French firefighters and riot… https://t.co/T9WcpLzzQD",Tampa Florida ,27384,1391420,False,[],Twitter for iPhone
BernieSpofforth,Thu Mar 23 23:01:30 +0000 2023,"FRANCE - The firefighters follow the police and begin to stand down, choosing to stand up with the people instead.… https://t.co/IuLBUuS4xJ","North West, England",24931,196109,False,[],Twitter for iPhone
BernieSpofforth,Fri Mar 24 12:19:29 +0000 2023,MACRON - Oops the moment Macron realises he’s wearing a very expensive watch whilst telling French people they must… https://t.co/Cvoi450oHa,"North West, England",12298,196109,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 13:28:18 +0000 2023,"Millions of people on the streets in Paris. They want Dictator Emmanuel Macron to resign. 🇫🇷 

This will be happeni… https://t.co/y9TaPrPJIF","København, Danmark",13341,285662,False,[],Twitter for iPhone
KimDotcom,Fri Mar 24 03:26:52 +0000 2023,Over a million protesters call for “Macron the Dictator” to be removed. Why? Macron used an emergency law to impose… https://t.co/XwjxK4tsJ1,Contact: twitter@kim.com ,18448,1341096,False,[],Twitter for iPhone
TheRealKeean,Thu Mar 23 19:36:10 +0000 2023,Breathtaking. Over a million French protesters gather in Paris calling for the removal of Macron. https://t.co/mJMl8Njb98,"Calgary, Alberta",11484,259223,False,[],Twitter for Android
BernieSpofforth,Thu Mar 23 07:50:52 +0000 2023,"FRANCE - Today is the day the whole of France strikes.

Millions of people will stand against Macron, who has circu… https://t.co/7CzrcpGJxb","North West, England",23615,196109,False,[],Twitter for iPhone
ashoswai,Thu Mar 23 22:58:40 +0000 2023,This is not Syria or Libya -This is France. Protests against Macron’s pension reform have become widespread and vio… https://t.co/mgbUcmpe7k,"Uppsala, Sweden",5503,513205,False,[],Twitter for iPhone
Poulin2012,Thu Mar 23 16:55:51 +0000 2023,"Macron is slowly but surely turning France into a violent dictatorship. 

More police violences than ever, mass arr… https://t.co/NO10SKKLVp","Paris, France",1341,212809,False,[],Twitter for iPhone
stillgray,Thu Mar 23 21:36:58 +0000 2023,"Is this a turning point in the protests against Macron? Riot police signal their support for the protesters. 

 https://t.co/ueNPjXORxF",YouTube,3833,512557,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 17:36:57 +0000 2023,"9 million people are not wrong! 🇫🇷

Macron RESIGN! 🔥https://t.co/XTqjvaLsHG","København, Danmark",3210,285662,False,[],Twitter for iPhone
KimDotcom,Thu Mar 23 22:09:28 +0000 2023,This is what’s happening all over France. The people have enough of Macron. Time for him to step down and make way… https://t.co/mtfrvukmKK,Contact: twitter@kim.com ,3285,1341096,False,[],Twitter for iPhone
Resist_05,Wed Mar 22 23:01:59 +0000 2023,The whole of France is behind the anti-reform movement… Macron has lost control of the country https://t.co/tqngEEfoVA,,8001,80645,False,[],Twitter for iPhone
ggreenwald,Fri Mar 24 16:55:15 +0000 2023,France is now covered with protests and strikes because Macron said there's no money to allow workers to retire at… https://t.co/RRL9l77Jkf,GlennGreenwald@gmail.com,1947,2004534,False,[],Twitter Web App
DrLoupis,Thu Mar 23 21:36:05 +0000 2023,"Over a million French protesters gather in Paris calling for the removal of Macron the Dictator. 🇫🇷🔥🇫🇷

The People… https://t.co/oEXqaqqEwu","København, Danmark",50407,285662,False,[],Twitter for iPhone
bennyjohnson,Fri Mar 24 01:13:52 +0000 2023,"The sum of all fears for globalist technocrats is happening RIGHT NOW in France.

The French firefighters and riot… https://t.co/T9WcpLzzQD",Tampa Florida ,27384,1391419,False,[],Twitter for iPhone
BernieSpofforth,Thu Mar 23 23:01:30 +0000 2023,"FRANCE - The firefighters follow the police and begin to stand down, choosing to stand up with the people instead.… https://t.co/IuLBUuS4xJ","North West, England",24931,196109,False,[],Twitter for iPhone
BernieSpofforth,Fri Mar 24 12:19:29 +0000 2023,MACRON - Oops the moment Macron realises he’s wearing a very expensive watch whilst telling French people they must… https://t.co/Cvoi450oHa,"North West, England",12298,196109,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 13:28:18 +0000 2023,"Millions of people on the streets in Paris. They want Dictator Emmanuel Macron to resign. 🇫🇷 

This will be happeni… https://t.co/y9TaPrPJIF","København, Danmark",13341,285662,False,[],Twitter for iPhone
KimDotcom,Fri Mar 24 03:26:52 +0000 2023,Over a million protesters call for “Macron the Dictator” to be removed. Why? Macron used an emergency law to impose… https://t.co/XwjxK4tsJ1,Contact: twitter@kim.com ,18448,1341096,False,[],Twitter for iPhone
TheRealKeean,Thu Mar 23 19:36:10 +0000 2023,Breathtaking. Over a million French protesters gather in Paris calling for the removal of Macron. https://t.co/mJMl8Njb98,"Calgary, Alberta",11484,259223,False,[],Twitter for Android
BernieSpofforth,Thu Mar 23 07:50:52 +0000 2023,"FRANCE - Today is the day the whole of France strikes.

Millions of people will stand against Macron, who has circu… https://t.co/7CzrcpGJxb","North West, England",23615,196109,False,[],Twitter for iPhone
ashoswai,Thu Mar 23 22:58:40 +0000 2023,This is not Syria or Libya -This is France. Protests against Macron’s pension reform have become widespread and vio… https://t.co/mgbUcmpe7k,"Uppsala, Sweden",5503,513205,False,[],Twitter for iPhone
Poulin2012,Thu Mar 23 16:55:51 +0000 2023,"Macron is slowly but surely turning France into a violent dictatorship. 

More police violences than ever, mass arr… https://t.co/NO10SKKLVp","Paris, France",1341,212809,False,[],Twitter for iPhone
stillgray,Thu Mar 23 21:36:58 +0000 2023,"Is this a turning point in the protests against Macron? Riot police signal their support for the protesters. 

 https://t.co/ueNPjXORxF",YouTube,3833,512557,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 17:36:57 +0000 2023,"9 million people are not wrong! 🇫🇷

Macron RESIGN! 🔥https://t.co/XTqjvaLsHG","København, Danmark",3210,285662,False,[],Twitter for iPhone
KimDotcom,Thu Mar 23 22:09:28 +0000 2023,This is what’s happening all over France. The people have enough of Macron. Time for him to step down and make way… https://t.co/mtfrvukmKK,Contact: twitter@kim.com ,3285,1341096,False,[],Twitter for iPhone
Resist_05,Wed Mar 22 23:01:59 +0000 2023,The whole of France is behind the anti-reform movement… Macron has lost control of the country https://t.co/tqngEEfoVA,,8001,80645,False,[],Twitter for iPhone
ggreenwald,Fri Mar 24 16:55:15 +0000 2023,France is now covered with protests and strikes because Macron said there's no money to allow workers to retire at… https://t.co/RRL9l77Jkf,GlennGreenwald@gmail.com,1947,2004534,False,[],Twitter Web App
DrLoupis,Thu Mar 23 21:36:05 +0000 2023,"Over a million French protesters gather in Paris calling for the removal of Macron the Dictator. 🇫🇷🔥🇫🇷

The People… https://t.co/oEXqaqqEwu","København, Danmark",50407,285662,False,[],Twitter for iPhone
bennyjohnson,Fri Mar 24 01:13:52 +0000 2023,"The sum of all fears for globalist technocrats is happening RIGHT NOW in France.

The French firefighters and riot… https://t.co/T9WcpLzzQD",Tampa Florida ,27384,1391420,False,[],Twitter for iPhone
BernieSpofforth,Thu Mar 23 23:01:30 +0000 2023,"FRANCE - The firefighters follow the police and begin to stand down, choosing to stand up with the people instead.… https://t.co/IuLBUuS4xJ","North West, England",24931,196109,False,[],Twitter for iPhone
BernieSpofforth,Fri Mar 24 12:19:29 +0000 2023,MACRON - Oops the moment Macron realises he’s wearing a very expensive watch whilst telling French people they must… https://t.co/Cvoi450oHa,"North West, England",12298,196109,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 13:28:18 +0000 2023,"Millions of people on the streets in Paris. They want Dictator Emmanuel Macron to resign. 🇫🇷 

This will be happeni… https://t.co/y9TaPrPJIF","København, Danmark",13341,285662,False,[],Twitter for iPhone
KimDotcom,Fri Mar 24 03:26:52 +0000 2023,Over a million protesters call for “Macron the Dictator” to be removed. Why? Macron used an emergency law to impose… https://t.co/XwjxK4tsJ1,Contact: twitter@kim.com ,18448,1341096,False,[],Twitter for iPhone
TheRealKeean,Thu Mar 23 19:36:10 +0000 2023,Breathtaking. Over a million French protesters gather in Paris calling for the removal of Macron. https://t.co/mJMl8Njb98,"Calgary, Alberta",11484,259223,False,[],Twitter for Android
BernieSpofforth,Thu Mar 23 07:50:52 +0000 2023,"FRANCE - Today is the day the whole of France strikes.

Millions of people will stand against Macron, who has circu… https://t.co/7CzrcpGJxb","North West, England",23615,196109,False,[],Twitter for iPhone
ashoswai,Thu Mar 23 22:58:40 +0000 2023,This is not Syria or Libya -This is France. Protests against Macron’s pension reform have become widespread and vio… https://t.co/mgbUcmpe7k,"Uppsala, Sweden",5503,513205,False,[],Twitter for iPhone
Poulin2012,Thu Mar 23 16:55:51 +0000 2023,"Macron is slowly but surely turning France into a violent dictatorship. 

More police violences than ever, mass arr… https://t.co/NO10SKKLVp","Paris, France",1341,212809,False,[],Twitter for iPhone
stillgray,Thu Mar 23 21:36:58 +0000 2023,"Is this a turning point in the protests against Macron? Riot police signal their support for the protesters. 

 https://t.co/ueNPjXORxF",YouTube,3833,512557,False,[],Twitter for iPhone
DrLoupis,Fri Mar 24 17:36:57 +0000 2023,"9 million people are not wrong! 🇫🇷

Macron RESIGN! 🔥https://t.co/XTqjvaLsHG","København, Danmark",3210,285662,False,[],Twitter for iPhone
KimDotcom,Thu Mar 23 22:09:28 +0000 2023,This is what’s happening all over France. The people have enough of Macron. Time for him to step down and make way… https://t.co/mtfrvukmKK,Contact: twitter@kim.com ,3285,1341096,False,[],Twitter for iPhone
Resist_05,Wed Mar 22 23:01:59 +0000 2023,The whole of France is behind the anti-reform movement… Macron has lost control of the country https://t.co/tqngEEfoVA,,8001,80645,False,[],Twitter for iPhone
ggreenwald,Fri Mar 24 16:55:15 +0000 2023,France is now covered with protests and strikes because Macron said there's no money to allow workers to retire at… https://t.co/RRL9l77Jkf,GlennGreenwald@gmail.com,1947,2004534,False,[],Twitter Web App
DrLoupis,Thu Mar 23 21:36:05 +0000 2023,"Over a million French protesters gather in Paris calling for the removal of Macron the Dictator. 🇫🇷🔥🇫🇷

The People… https://t.co/oEXqaqqEwu","København, Danmark",50407,285662,False,[],Twitter for iPhone
bennyjohnson,Fri Mar 24 01:13:52 +0000 2023,"The sum of all fears for globalist technocrats is happening RIGHT NOW in France.

The French firefighters and riot… https://t.co/T9WcpLzzQD",Tampa Florida ,27384,1391420,False,[],Twitter for iPhone
BernieSpofforth,Thu Mar 23 23:01:30 +0000 2023,"FRANCE - The firefighters follow the police and begin to stand down, choosing to stand up with the people instead.… https://t.co/IuLBUuS4xJ","North West, England",24931,196109,False,[],Twitter for iPhone
BernieSpofforth,Fri Mar 24 12:19:29 +0000 2023,MACRON - Oops the moment Macron realises he’s wearing a very expensive watch whilst telling French people they must… https://t.co/Cvoi450oHa,"North West, England",12298,196109,False,[],Twitter for iPhone
